city,date,card_type,exp_type,gender,amount,month,customer_id,customer_segment
"Ahmedabad, India",2013-11-01,Signature,Food,F,46798,2013-11,"Ahmedabad, India_Signature_F",High-Value Customers
"Bengaluru, India",2013-11-01,Silver,Bills,M,247819,2013-11,"Bengaluru, India_Silver_M",High-Value Customers
"Greater Mumbai, India",2013-11-01,Platinum,Fuel,M,283676,2013-11,"Greater Mumbai, India_Platinum_M",High-Value Customers
"Ahmedabad, India",2013-11-01,Silver,Fuel,F,101427,2013-11,"Ahmedabad, India_Silver_F",High-Value Customers
"Nagpur, India",2013-11-01,Platinum,Bills,M,107482,2013-11,"Nagpur, India_Platinum_M",Inactive Customers
"Pune, India",2013-11-01,Signature,Fuel,M,32660,2013-11,"Pune, India_Signature_M",Regular Customers
"Jaipur, India",2013-11-01,Silver,Entertainment,M,139154,2013-11,"Jaipur, India_Silver_M",Regular Customers
"Ahmedabad, India",2013-11-01,Silver,Fuel,M,215066,2013-11,"Ahmedabad, India_Silver_M",High-Value Customers
"Bengaluru, India",2013-11-01,Gold,Grocery,F,250112,2013-11,"Bengaluru, India_Gold_F",High-Value Customers
"Pachora, India",2013-11-01,Signature,Fuel,M,110996,2013-11,"Pachora, India_Signature_M",Inactive Customers
"Bengaluru, India",2013-11-01,Signature,Food,M,248338,2013-11,"Bengaluru, India_Signature_M",High-Value Customers
"Pune, India",2013-11-01,Signature,Food,M,158862,2013-11,"Pune, India_Signature_M",Regular Customers
"Bengaluru, India",2013-11-01,Gold,Bills,F,896384,2013-11,"Bengaluru, India_Gold_F",High-Value Customers
"Mokokchung, India",2013-11-01,Platinum,Bills,M,162730,2013-11,"Mokokchung, India_Platinum_M",Inactive Customers
"Kolkata, India",2013-11-01,Silver,Grocery,F,153680,2013-11,"Kolkata, India_Silver_F",Regular Customers
"Belagavi, India",2013-11-01,Signature,Grocery,F,83293,2013-11,"Belagavi, India_Signature_F",Inactive Customers
"Lucknow, India",2013-11-01,Platinum,Bills,M,191160,2013-11,"Lucknow, India_Platinum_M",Regular Customers
"Greater Mumbai, India",2013-11-01,Silver,Bills,F,76284,2013-11,"Greater Mumbai, India_Silver_F",High-Value Customers
"Bengaluru, India",2013-11-01,Gold,Fuel,M,283156,2013-11,"Bengaluru, India_Gold_M",High-Value Customers
"Kanpur, India",2013-11-01,Silver,Travel,F,132025,2013-11,"Kanpur, India_Silver_F",Regular Customers
"Greater Mumbai, India",2013-11-01,Silver,Grocery,F,148013,2013-11,"Greater Mumbai, India_Silver_F",High-Value Customers
"Bengaluru, India",2013-11-01,Gold,Entertainment,M,192259,2013-11,"Bengaluru, India_Gold_M",High-Value Customers
"Delhi, India",2013-11-01,Silver,Grocery,F,190580,2013-11,"Delhi, India_Silver_F",High-Value Customers
"Petlad, India",2013-11-01,Signature,Grocery,M,118556,2013-11,"Petlad, India_Signature_M",Inactive Customers
"Delhi, India",2013-11-01,Gold,Grocery,M,51019,2013-11,"Delhi, India_Gold_M",High-Value Customers
"Delhi, India",2013-11-01,Silver,Entertainment,F,254156,2013-11,"Delhi, India_Silver_F",High-Value Customers
"Jaipur, India",2013-11-01,Platinum,Entertainment,M,165237,2013-11,"Jaipur, India_Platinum_M",Regular Customers
"Bengaluru, India",2013-11-02,Gold,Grocery,F,281540,2013-11,"Bengaluru, India_Gold_F",High-Value Customers
"Chennai, India",2013-11-02,Gold,Grocery,F,112793,2013-11,"Chennai, India_Gold_F",Regular Customers
"Bengaluru, India",2013-11-02,Silver,Entertainment,M,234947,2013-11,"Bengaluru, India_Silver_M",High-Value Customers
"Greater Mumbai, India",2013-11-02,Signature,Food,M,90271,2013-11,"Greater Mumbai, India_Signature_M",High-Value Customers
"Lucknow, India",2013-11-02,Platinum,Grocery,M,102767,2013-11,"Lucknow, India_Platinum_M",Regular Customers
"Raipur, India",2013-11-02,Platinum,Food,M,279844,2013-11,"Raipur, India_Platinum_M",Inactive Customers
"Greater Mumbai, India",2013-11-02,Silver,Entertainment,F,61674,2013-11,"Greater Mumbai, India_Silver_F",High-Value Customers
"Bengaluru, India",2013-11-02,Gold,Food,F,251404,2013-11,"Bengaluru, India_Gold_F",High-Value Customers
"Pune, India",2013-11-02,Signature,Travel,M,88726,2013-11,"Pune, India_Signature_M",Regular Customers
"Greater Mumbai, India",2013-11-02,Gold,Food,F,104262,2013-11,"Greater Mumbai, India_Gold_F",High-Value Customers
"Arwal, India",2013-11-02,Gold,Grocery,M,94554,2013-11,"Arwal, India_Gold_M",Inactive Customers
"Satana, India",2013-11-02,Silver,Bills,M,146491,2013-11,"Satana, India_Silver_M",Inactive Customers
"Jaipur, India",2013-11-02,Gold,Entertainment,F,158077,2013-11,"Jaipur, India_Gold_F",Regular Customers
"Nowgong, India",2013-11-02,Signature,Grocery,M,42886,2013-11,"Nowgong, India_Signature_M",Inactive Customers
"Delhi, India",2013-11-02,Gold,Food,M,135150,2013-11,"Delhi, India_Gold_M",High-Value Customers
"Greater Mumbai, India",2013-11-02,Silver,Bills,F,34470,2013-11,"Greater Mumbai, India_Silver_F",High-Value Customers
"Parvathipuram, India",2013-11-02,Platinum,Entertainment,M,160653,2013-11,"Parvathipuram, India_Platinum_M",Inactive Customers
"Ahmedabad, India",2013-11-02,Silver,Grocery,F,171803,2013-11,"Ahmedabad, India_Silver_F",High-Value Customers
"Anantnag, India",2013-11-02,Signature,Food,F,49363,2013-11,"Anantnag, India_Signature_F",Inactive Customers
"Ahmedabad, India",2013-11-02,Signature,Grocery,F,247502,2013-11,"Ahmedabad, India_Signature_F",High-Value Customers
"Tumkur, India",2013-11-02,Platinum,Grocery,M,173926,2013-11,"Tumkur, India_Platinum_M",Inactive Customers
"Kolkata, India",2013-11-02,Silver,Grocery,F,267160,2013-11,"Kolkata, India_Silver_F",Regular Customers
"Greater Mumbai, India",2013-11-02,Gold,Food,M,225966,2013-11,"Greater Mumbai, India_Gold_M",High-Value Customers
"Delhi, India",2013-11-02,Signature,Entertainment,M,86166,2013-11,"Delhi, India_Signature_M",High-Value Customers
"Pune, India",2013-11-02,Signature,Travel,M,229221,2013-11,"Pune, India_Signature_M",Regular Customers
"Jaipur, India",2013-11-02,Gold,Food,F,106028,2013-11,"Jaipur, India_Gold_F",Regular Customers
"Pune, India",2013-11-02,Signature,Food,F,143287,2013-11,"Pune, India_Signature_F",Regular Customers
"Delhi, India",2013-11-02,Gold,Grocery,F,173556,2013-11,"Delhi, India_Gold_F",High-Value Customers
"Bengaluru, India",2013-11-02,Gold,Grocery,M,8393,2013-11,"Bengaluru, India_Gold_M",High-Value Customers
"Ahmedabad, India",2013-11-02,Platinum,Food,M,85678,2013-11,"Ahmedabad, India_Platinum_M",High-Value Customers
"Nadbai, India",2013-11-02,Signature,Fuel,M,280577,2013-11,"Nadbai, India_Signature_M",Inactive Customers
"Bengaluru, India",2013-11-02,Gold,Grocery,F,65007,2013-11,"Bengaluru, India_Gold_F",High-Value Customers
"Karjat, India",2013-11-02,Signature,Fuel,M,269258,2013-11,"Karjat, India_Signature_M",Inactive Customers
"Kolkata, India",2013-11-02,Silver,Travel,F,195479,2013-11,"Kolkata, India_Silver_F",Regular Customers
"Lucknow, India",2013-11-02,Platinum,Entertainment,F,49234,2013-11,"Lucknow, India_Platinum_F",Regular Customers
"Pandharpur, India",2013-11-02,Gold,Bills,F,160925,2013-11,"Pandharpur, India_Gold_F",Regular Customers
"Barpeta, India",2013-11-02,Silver,Entertainment,F,116894,2013-11,"Barpeta, India_Silver_F",Inactive Customers
"Sankarankoil, India",2013-11-02,Silver,Grocery,M,207493,2013-11,"Sankarankoil, India_Silver_M",Inactive Customers
"Hyderabad, India",2013-11-02,Platinum,Food,M,167241,2013-11,"Hyderabad, India_Platinum_M",Regular Customers
"Kolkata, India",2013-11-03,Platinum,Food,F,41130,2013-11,"Kolkata, India_Platinum_F",Regular Customers
"Pilibanga, India",2013-11-03,Silver,Fuel,F,155294,2013-11,"Pilibanga, India_Silver_F",Inactive Customers
"Palakkad, India",2013-11-03,Silver,Grocery,F,167304,2013-11,"Palakkad, India_Silver_F",Inactive Customers
"Warora, India",2013-11-03,Signature,Entertainment,F,139296,2013-11,"Warora, India_Signature_F",Inactive Customers
"Upleta, India",2013-11-03,Gold,Grocery,F,222177,2013-11,"Upleta, India_Gold_F",Inactive Customers
"Bengaluru, India",2013-11-03,Signature,Entertainment,F,104871,2013-11,"Bengaluru, India_Signature_F",High-Value Customers
"Greater Mumbai, India",2013-11-03,Silver,Food,M,270276,2013-11,"Greater Mumbai, India_Silver_M",High-Value Customers
"Sidlaghatta, India",2013-11-03,Signature,Food,F,14639,2013-11,"Sidlaghatta, India_Signature_F",Inactive Customers
"Ahmedabad, India",2013-11-03,Gold,Entertainment,F,1844,2013-11,"Ahmedabad, India_Gold_F",High-Value Customers
"Delhi, India",2013-11-03,Gold,Food,F,59655,2013-11,"Delhi, India_Gold_F",High-Value Customers
"Narsipatnam, India",2013-11-03,Platinum,Entertainment,M,170663,2013-11,"Narsipatnam, India_Platinum_M",Inactive Customers
"Greater Mumbai, India",2013-11-03,Gold,Fuel,M,226367,2013-11,"Greater Mumbai, India_Gold_M",High-Value Customers
"Kolkata, India",2013-11-03,Platinum,Food,M,256643,2013-11,"Kolkata, India_Platinum_M",Regular Customers
"Lal Gopalganj Nindaura, India",2013-11-03,Signature,Bills,F,87663,2013-11,"Lal Gopalganj Nindaura, India_Signature_F",Inactive Customers
"Greater Mumbai, India",2013-11-03,Signature,Food,F,114085,2013-11,"Greater Mumbai, India_Signature_F",High-Value Customers
"Jaipur, India",2013-11-03,Signature,Food,F,182011,2013-11,"Jaipur, India_Signature_F",Regular Customers
"Surat, India",2013-11-03,Gold,Entertainment,M,247769,2013-11,"Surat, India_Gold_M",Regular Customers
"Greater Mumbai, India",2013-11-03,Platinum,Bills,F,149424,2013-11,"Greater Mumbai, India_Platinum_F",High-Value Customers
"Bikaner, India",2013-11-03,Silver,Entertainment,M,28907,2013-11,"Bikaner, India_Silver_M",Regular Customers
"Shahpura, India",2013-11-03,Platinum,Fuel,M,293015,2013-11,"Shahpura, India_Platinum_M",Inactive Customers
"Bengaluru, India",2013-11-03,Platinum,Fuel,M,14332,2013-11,"Bengaluru, India_Platinum_M",High-Value Customers
"Bengaluru, India",2013-11-03,Gold,Grocery,M,159903,2013-11,"Bengaluru, India_Gold_M",High-Value Customers
"Ahmedabad, India",2013-11-03,Gold,Fuel,M,78101,2013-11,"Ahmedabad, India_Gold_M",High-Value Customers
"Chennai, India",2013-11-03,Platinum,Food,F,188765,2013-11,"Chennai, India_Platinum_F",Regular Customers
"Delhi, India",2013-11-03,Platinum,Bills,F,780669,2013-11,"Delhi, India_Platinum_F",High-Value Customers
"Greater Mumbai, India",2013-11-03,Platinum,Entertainment,M,83076,2013-11,"Greater Mumbai, India_Platinum_M",High-Value Customers
"Kolkata, India",2013-11-03,Platinum,Bills,F,284312,2013-11,"Kolkata, India_Platinum_F",Regular Customers
"Kanpur, India",2013-11-03,Silver,Grocery,F,91930,2013-11,"Kanpur, India_Silver_F",Regular Customers
"Ahmedabad, India",2013-11-03,Signature,Fuel,M,174599,2013-11,"Ahmedabad, India_Signature_M",High-Value Customers
"Greater Mumbai, India",2013-11-03,Silver,Fuel,F,22261,2013-11,"Greater Mumbai, India_Silver_F",High-Value Customers
"Ahmedabad, India",2013-11-03,Gold,Grocery,F,178941,2013-11,"Ahmedabad, India_Gold_F",High-Value Customers
"Sindhagi, India",2013-11-03,Gold,Grocery,F,39093,2013-11,"Sindhagi, India_Gold_F",Inactive Customers
"Ahmedabad, India",2013-11-03,Gold,Fuel,M,37854,2013-11,"Ahmedabad, India_Gold_M",High-Value Customers
"Kolkata, India",2013-11-03,Silver,Bills,M,211054,2013-11,"Kolkata, India_Silver_M",Regular Customers
"Pune, India",2013-11-03,Signature,Travel,M,276612,2013-11,"Pune, India_Signature_M",Regular Customers
"Bengaluru, India",2013-11-03,Silver,Bills,F,465281,2013-11,"Bengaluru, India_Silver_F",High-Value Customers
"Sonipat, India",2013-11-03,Silver,Food,F,9179,2013-11,"Sonipat, India_Silver_F",Inactive Customers
"Delhi, India",2013-11-03,Platinum,Fuel,M,149480,2013-11,"Delhi, India_Platinum_M",High-Value Customers
"Surat, India",2013-11-04,Silver,Travel,M,111667,2013-11,"Surat, India_Silver_M",Regular Customers
"Ahmedabad, India",2013-11-04,Silver,Fuel,F,244917,2013-11,"Ahmedabad, India_Silver_F",High-Value Customers
"Delhi, India",2013-11-04,Signature,Entertainment,M,253025,2013-11,"Delhi, India_Signature_M",High-Value Customers
"Ahmedabad, India",2013-11-04,Signature,Fuel,M,222249,2013-11,"Ahmedabad, India_Signature_M",High-Value Customers
"Chennai, India",2013-11-04,Signature,Food,F,96305,2013-11,"Chennai, India_Signature_F",Regular Customers
"Batala, India",2013-11-04,Platinum,Food,M,117754,2013-11,"Batala, India_Platinum_M",Regular Customers
"Mancherial, India",2013-11-04,Gold,Food,M,34220,2013-11,"Mancherial, India_Gold_M",Inactive Customers
"Hyderabad, India",2013-11-04,Signature,Grocery,F,161750,2013-11,"Hyderabad, India_Signature_F",Regular Customers
"Delhi, India",2013-11-04,Platinum,Food,M,21011,2013-11,"Delhi, India_Platinum_M",High-Value Customers
"Delhi, India",2013-11-04,Silver,Grocery,F,119316,2013-11,"Delhi, India_Silver_F",High-Value Customers
"Greater Mumbai, India",2013-11-04,Gold,Entertainment,F,8018,2013-11,"Greater Mumbai, India_Gold_F",High-Value Customers
"Solan, India",2013-11-04,Signature,Grocery,M,215207,2013-11,"Solan, India_Signature_M",Inactive Customers
"Ahmedabad, India",2013-11-04,Platinum,Entertainment,M,266056,2013-11,"Ahmedabad, India_Platinum_M",High-Value Customers
"Ahmedabad, India",2013-11-04,Platinum,Bills,F,313626,2013-11,"Ahmedabad, India_Platinum_F",High-Value Customers
"Mandsaur, India",2013-11-04,Silver,Grocery,M,277928,2013-11,"Mandsaur, India_Silver_M",Inactive Customers
"Delhi, India",2013-11-04,Platinum,Food,M,298059,2013-11,"Delhi, India_Platinum_M",High-Value Customers
"Kayamkulam, India",2013-11-04,Signature,Food,M,221590,2013-11,"Kayamkulam, India_Signature_M",Regular Customers
"Delhi, India",2013-11-04,Silver,Bills,F,10155,2013-11,"Delhi, India_Silver_F",High-Value Customers
"Pune, India",2013-11-04,Platinum,Grocery,M,256265,2013-11,"Pune, India_Platinum_M",Regular Customers
"Zunheboto, India",2013-11-04,Signature,Bills,M,89271,2013-11,"Zunheboto, India_Signature_M",Inactive Customers
"Kanpur, India",2013-11-04,Gold,Fuel,M,81324,2013-11,"Kanpur, India_Gold_M",Regular Customers
"Bengaluru, India",2013-11-04,Silver,Grocery,F,118609,2013-11,"Bengaluru, India_Silver_F",High-Value Customers
"Savarkundla, India",2013-11-04,Signature,Bills,M,84088,2013-11,"Savarkundla, India_Signature_M",Inactive Customers
"Puranpur, India",2013-11-04,Silver,Food,M,60109,2013-11,"Puranpur, India_Silver_M",Regular Customers
"Bengaluru, India",2013-11-04,Signature,Bills,M,277104,2013-11,"Bengaluru, India_Signature_M",High-Value Customers
"Ahmedabad, India",2013-11-04,Silver,Entertainment,M,170018,2013-11,"Ahmedabad, India_Silver_M",High-Value Customers
"Kanpur, India",2013-11-04,Silver,Food,M,230429,2013-11,"Kanpur, India_Silver_M",Regular Customers
"Bengaluru, India",2013-11-04,Silver,Grocery,F,209526,2013-11,"Bengaluru, India_Silver_F",High-Value Customers
"Bengaluru, India",2013-11-04,Silver,Grocery,F,207311,2013-11,"Bengaluru, India_Silver_F",High-Value Customers
"Greater Mumbai, India",2013-11-04,Platinum,Fuel,M,162577,2013-11,"Greater Mumbai, India_Platinum_M",High-Value Customers
"Chennai, India",2013-11-04,Silver,Entertainment,F,232866,2013-11,"Chennai, India_Silver_F",Regular Customers
"Warora, India",2013-11-04,Signature,Fuel,F,258629,2013-11,"Warora, India_Signature_F",Inactive Customers
"Chennai, India",2013-11-04,Gold,Grocery,F,294404,2013-11,"Chennai, India_Gold_F",Regular Customers
"Delhi, India",2013-11-04,Silver,Food,F,79959,2013-11,"Delhi, India_Silver_F",High-Value Customers
"Surat, India",2013-11-04,Platinum,Fuel,F,62440,2013-11,"Surat, India_Platinum_F",Regular Customers
"Bengaluru, India",2013-11-04,Gold,Grocery,M,42697,2013-11,"Bengaluru, India_Gold_M",High-Value Customers
"Jaipur, India",2013-11-04,Gold,Grocery,M,190527,2013-11,"Jaipur, India_Gold_M",Regular Customers
"Greater Mumbai, India",2013-11-04,Platinum,Grocery,F,106503,2013-11,"Greater Mumbai, India_Platinum_F",High-Value Customers
"Delhi, India",2013-11-04,Gold,Food,F,14332,2013-11,"Delhi, India_Gold_F",High-Value Customers
"Rajgarh (Churu), India",2013-11-04,Platinum,Food,M,275734,2013-11,"Rajgarh (Churu), India_Platinum_M",Inactive Customers
"Bengaluru, India",2013-11-04,Gold,Food,F,225377,2013-11,"Bengaluru, India_Gold_F",High-Value Customers
"Greater Mumbai, India",2013-11-04,Gold,Grocery,F,56970,2013-11,"Greater Mumbai, India_Gold_F",High-Value Customers
"Delhi, India",2013-11-04,Signature,Fuel,F,206250,2013-11,"Delhi, India_Signature_F",High-Value Customers
"Bengaluru, India",2013-11-04,Gold,Entertainment,F,25502,2013-11,"Bengaluru, India_Gold_F",High-Value Customers
"Samana, India",2013-11-04,Signature,Entertainment,M,184026,2013-11,"Samana, India_Signature_M",Regular Customers
"Greater Mumbai, India",2013-11-04,Platinum,Bills,F,3670,2013-11,"Greater Mumbai, India_Platinum_F",High-Value Customers
"Surat, India",2013-11-04,Silver,Grocery,M,288551,2013-11,"Surat, India_Silver_M",Regular Customers
"Kanpur, India",2013-11-04,Signature,Food,F,124728,2013-11,"Kanpur, India_Signature_F",Regular Customers
"Sasaram, India",2013-11-04,Silver,Food,M,31553,2013-11,"Sasaram, India_Silver_M",Inactive Customers
"Delhi, India",2013-11-05,Signature,Food,F,272060,2013-11,"Delhi, India_Signature_F",High-Value Customers
"Ahmedabad, India",2013-11-05,Platinum,Bills,F,490128,2013-11,"Ahmedabad, India_Platinum_F",High-Value Customers
"Delhi, India",2013-11-05,Signature,Grocery,M,79234,2013-11,"Delhi, India_Signature_M",High-Value Customers
"Greater Mumbai, India",2013-11-05,Silver,Entertainment,M,161861,2013-11,"Greater Mumbai, India_Silver_M",High-Value Customers
"Delhi, India",2013-11-05,Gold,Bills,F,274164,2013-11,"Delhi, India_Gold_F",High-Value Customers
"Sagar, India",2013-11-05,Signature,Bills,M,190999,2013-11,"Sagar, India_Signature_M",Regular Customers
"Delhi, India",2013-11-05,Platinum,Entertainment,M,175622,2013-11,"Delhi, India_Platinum_M",High-Value Customers
"Hyderabad, India",2013-11-05,Silver,Fuel,F,233183,2013-11,"Hyderabad, India_Silver_F",Regular Customers
"Lucknow, India",2013-11-05,Silver,Bills,M,279823,2013-11,"Lucknow, India_Silver_M",Regular Customers
"Ahmedabad, India",2013-11-05,Platinum,Entertainment,F,61664,2013-11,"Ahmedabad, India_Platinum_F",High-Value Customers
"Bengaluru, India",2013-11-05,Silver,Bills,M,55382,2013-11,"Bengaluru, India_Silver_M",High-Value Customers
"Pune, India",2013-11-05,Signature,Travel,M,158988,2013-11,"Pune, India_Signature_M",Regular Customers
"Raghogarh-Vijaypur, India",2013-11-05,Silver,Grocery,F,284754,2013-11,"Raghogarh-Vijaypur, India_Silver_F",Regular Customers
"Delhi, India",2013-11-05,Silver,Grocery,F,279342,2013-11,"Delhi, India_Silver_F",High-Value Customers
"Delhi, India",2013-11-05,Platinum,Bills,F,88344,2013-11,"Delhi, India_Platinum_F",High-Value Customers
"Bengaluru, India",2013-11-05,Gold,Grocery,M,84177,2013-11,"Bengaluru, India_Gold_M",High-Value Customers
"Delhi, India",2013-11-05,Silver,Entertainment,F,31539,2013-11,"Delhi, India_Silver_F",High-Value Customers
"Sambhal, India",2013-11-05,Gold,Bills,F,62067,2013-11,"Sambhal, India_Gold_F",Regular Customers
"Bathinda, India",2013-11-05,Gold,Grocery,M,246477,2013-11,"Bathinda, India_Gold_M",Regular Customers
"Bhilai Nagar, India",2013-11-05,Gold,Grocery,F,163034,2013-11,"Bhilai Nagar, India_Gold_F",Regular Customers
"Bhagalpur, India",2013-11-05,Platinum,Entertainment,F,26331,2013-11,"Bhagalpur, India_Platinum_F",Inactive Customers
"Delhi, India",2013-11-05,Signature,Bills,F,72763,2013-11,"Delhi, India_Signature_F",High-Value Customers
"Chennai, India",2013-11-05,Signature,Food,F,251293,2013-11,"Chennai, India_Signature_F",Regular Customers
"Ahmedabad, India",2013-11-05,Platinum,Entertainment,F,244384,2013-11,"Ahmedabad, India_Platinum_F",High-Value Customers
"Greater Mumbai, India",2013-11-05,Silver,Food,F,218033,2013-11,"Greater Mumbai, India_Silver_F",High-Value Customers
"Greater Mumbai, India",2013-11-05,Gold,Food,F,52417,2013-11,"Greater Mumbai, India_Gold_F",High-Value Customers
"Ahmedabad, India",2013-11-05,Silver,Grocery,F,22795,2013-11,"Ahmedabad, India_Silver_F",High-Value Customers
"Bengaluru, India",2013-11-05,Platinum,Entertainment,M,111186,2013-11,"Bengaluru, India_Platinum_M",High-Value Customers
"Greater Mumbai, India",2013-11-05,Signature,Food,M,288390,2013-11,"Greater Mumbai, India_Signature_M",High-Value Customers
"Ahmedabad, India",2013-11-05,Platinum,Bills,M,287721,2013-11,"Ahmedabad, India_Platinum_M",High-Value Customers
"Bengaluru, India",2013-11-05,Platinum,Food,M,234955,2013-11,"Bengaluru, India_Platinum_M",High-Value Customers
"Ahmedabad, India",2013-11-05,Gold,Fuel,F,215046,2013-11,"Ahmedabad, India_Gold_F",High-Value Customers
"Ahmedabad, India",2013-11-05,Silver,Food,F,268989,2013-11,"Ahmedabad, India_Silver_F",High-Value Customers
"Bengaluru, India",2013-11-05,Signature,Food,M,196832,2013-11,"Bengaluru, India_Signature_M",High-Value Customers
"Delhi, India",2013-11-05,Silver,Food,M,104517,2013-11,"Delhi, India_Silver_M",High-Value Customers
"Ahmedabad, India",2013-11-05,Signature,Entertainment,F,248041,2013-11,"Ahmedabad, India_Signature_F",High-Value Customers
"Bengaluru, India",2013-11-05,Gold,Fuel,M,95366,2013-11,"Bengaluru, India_Gold_M",High-Value Customers
"Bengaluru, India",2013-11-05,Silver,Entertainment,F,246465,2013-11,"Bengaluru, India_Silver_F",High-Value Customers
"Greater Mumbai, India",2013-11-05,Gold,Fuel,F,265328,2013-11,"Greater Mumbai, India_Gold_F",High-Value Customers
"Bengaluru, India",2013-11-05,Signature,Grocery,M,225226,2013-11,"Bengaluru, India_Signature_M",High-Value Customers
"Pune, India",2013-11-05,Silver,Grocery,M,250675,2013-11,"Pune, India_Silver_M",Regular Customers
"Delhi, India",2013-11-05,Gold,Entertainment,M,135165,2013-11,"Delhi, India_Gold_M",High-Value Customers
"Greater Mumbai, India",2013-11-05,Silver,Grocery,F,262898,2013-11,"Greater Mumbai, India_Silver_F",High-Value Customers
"Surat, India",2013-11-05,Silver,Food,M,145588,2013-11,"Surat, India_Silver_M",Regular Customers
"Kolkata, India",2013-11-05,Silver,Entertainment,M,111289,2013-11,"Kolkata, India_Silver_M",Regular Customers
"Kolkata, India",2013-11-05,Silver,Grocery,M,266858,2013-11,"Kolkata, India_Silver_M",Regular Customers
"Delhi, India",2013-11-05,Platinum,Fuel,M,56482,2013-11,"Delhi, India_Platinum_M",High-Value Customers
"Kolkata, India",2013-11-05,Platinum,Entertainment,M,181391,2013-11,"Kolkata, India_Platinum_M",Regular Customers
"Greater Mumbai, India",2013-11-05,Signature,Fuel,F,98664,2013-11,"Greater Mumbai, India_Signature_F",High-Value Customers
"Bengaluru, India",2013-11-05,Platinum,Grocery,M,21767,2013-11,"Bengaluru, India_Platinum_M",High-Value Customers
"Surat, India",2013-11-05,Silver,Grocery,M,203446,2013-11,"Surat, India_Silver_M",Regular Customers
"Chennai, India",2013-11-05,Silver,Fuel,M,109083,2013-11,"Chennai, India_Silver_M",Regular Customers
"Bengaluru, India",2013-11-05,Silver,Grocery,F,273139,2013-11,"Bengaluru, India_Silver_F",High-Value Customers
"Pune, India",2013-11-05,Platinum,Food,M,235323,2013-11,"Pune, India_Platinum_M",Regular Customers
"Greater Mumbai, India",2013-11-05,Gold,Bills,M,15314,2013-11,"Greater Mumbai, India_Gold_M",High-Value Customers
"Bengaluru, India",2013-11-05,Silver,Bills,F,139130,2013-11,"Bengaluru, India_Silver_F",High-Value Customers
"Ahmedabad, India",2013-11-06,Gold,Entertainment,F,266069,2013-11,"Ahmedabad, India_Gold_F",High-Value Customers
"Lucknow, India",2013-11-06,Gold,Entertainment,F,96895,2013-11,"Lucknow, India_Gold_F",Regular Customers
"Kanpur, India",2013-11-06,Gold,Fuel,F,289988,2013-11,"Kanpur, India_Gold_F",Regular Customers
"Vatakara, India",2013-11-06,Silver,Bills,M,67549,2013-11,"Vatakara, India_Silver_M",Regular Customers
"Bengaluru, India",2013-11-06,Silver,Bills,F,55248,2013-11,"Bengaluru, India_Silver_F",High-Value Customers
"Bengaluru, India",2013-11-06,Signature,Grocery,F,52934,2013-11,"Bengaluru, India_Signature_F",High-Value Customers
"Bhilai Nagar, India",2013-11-06,Silver,Fuel,F,20968,2013-11,"Bhilai Nagar, India_Silver_F",Inactive Customers
"Delhi, India",2013-11-06,Gold,Food,F,24675,2013-11,"Delhi, India_Gold_F",High-Value Customers
"Delhi, India",2013-11-06,Signature,Food,F,34676,2013-11,"Delhi, India_Signature_F",High-Value Customers
"Surat, India",2013-11-06,Platinum,Entertainment,M,123115,2013-11,"Surat, India_Platinum_M",Regular Customers
"Maner, India",2013-11-06,Platinum,Bills,M,225499,2013-11,"Maner, India_Platinum_M",Inactive Customers
"Bengaluru, India",2013-11-06,Silver,Food,F,7625,2013-11,"Bengaluru, India_Silver_F",High-Value Customers
"Ahmedabad, India",2013-11-06,Signature,Food,M,120819,2013-11,"Ahmedabad, India_Signature_M",High-Value Customers
"Ladnu, India",2013-11-06,Silver,Bills,M,38809,2013-11,"Ladnu, India_Silver_M",Inactive Customers
"Ahmedabad, India",2013-11-06,Gold,Food,M,151934,2013-11,"Ahmedabad, India_Gold_M",High-Value Customers
"Bengaluru, India",2013-11-06,Platinum,Food,F,123752,2013-11,"Bengaluru, India_Platinum_F",High-Value Customers
"Chennai, India",2013-11-06,Signature,Fuel,M,182959,2013-11,"Chennai, India_Signature_M",Regular Customers
"Seoni-Malwa, India",2013-11-06,Platinum,Grocery,M,155569,2013-11,"Seoni-Malwa, India_Platinum_M",Inactive Customers
"Greater Mumbai, India",2013-11-06,Signature,Entertainment,M,170311,2013-11,"Greater Mumbai, India_Signature_M",High-Value Customers
"Farooqnagar, India",2013-11-06,Gold,Entertainment,M,227086,2013-11,"Farooqnagar, India_Gold_M",Inactive Customers
"Greater Mumbai, India",2013-11-06,Silver,Fuel,M,181153,2013-11,"Greater Mumbai, India_Silver_M",High-Value Customers
"Greater Mumbai, India",2013-11-06,Silver,Grocery,M,55102,2013-11,"Greater Mumbai, India_Silver_M",High-Value Customers
"Ahmedabad, India",2013-11-06,Gold,Fuel,M,206270,2013-11,"Ahmedabad, India_Gold_M",High-Value Customers
"Greater Mumbai, India",2013-11-06,Platinum,Food,M,133094,2013-11,"Greater Mumbai, India_Platinum_M",High-Value Customers
"Pune, India",2013-11-06,Silver,Bills,M,155677,2013-11,"Pune, India_Silver_M",Regular Customers
"Delhi, India",2013-11-06,Silver,Entertainment,M,108170,2013-11,"Delhi, India_Silver_M",High-Value Customers
"Hyderabad, India",2013-11-06,Platinum,Travel,F,229231,2013-11,"Hyderabad, India_Platinum_F",Regular Customers
